domain,tld,length,vowel_ratio,has_number,tld_score,keyword_score,brand_score,price,tier
bhapuna.dev,.dev,7,0.4286,0,0.7,0.4158,0.7466,550500,medium
tesanfopeaxom.online,.online,13,0.4615,0,0.25,0.1121,0.4814,50000,low
space.com,.com,5,0.4,0,1.0,0.72,0.8016,253500,medium
rajlab.co.in,.co.in,6,0.3333,0,0.6,0.4881,0.6249,375000,medium
ri.in,.in,2,0.5,0,0.9,0.9859,0.8069,12025500,high
lovebubestte.xyz,.xyz,12,0.4167,0,0.3,0.293,0.5161,81500,low
za.com,.com,2,0.5,0,1.0,0.8646,0.8585,79291500,high
bestomsan.biz,.biz,9,0.3333,0,0.15,0.0618,0.4541,29500,low
cakikripuprajikr.info,.info,16,0.375,0,0.18,0.1662,0.4108,32000,low
oplab.dev,.dev,5,0.4,0,0.7,0.6987,0.7655,249000,medium
buysha.io,.io,6,0.3333,0,0.85,0.8856,0.8262,28634500,high
coreez.dev,.dev,6,0.5,0,0.7,0.5437,0.5952,1208500,medium
clouddev.com,.com,8,0.375,0,1.0,0.9289,0.8166,9358500,high
sevavin.ai,.ai,7,0.4286,0,0.95,0.9059,0.822,7982500,high
mandipu.dev,.dev,7,0.4286,0,0.7,0.5034,0.7102,1029500,medium
live.com,.com,4,0.5,0,1.0,0.8961,0.8337,19218000,high
realvin.app,.app,7,0.4286,0,0.75,0.72,0.6515,675500,medium
auto.ai,.ai,4,0.75,0,0.95,1.0,0.7407,1939500,high
pe.com,.com,2,0.5,0,1.0,0.7709,0.9358,54454500,high
unbhapu.in,.in,7,0.4286,0,0.9,0.5521,0.7022,1336500,medium
kriworld.net,.net,8,0.25,0,0.65,0.0322,0.3973,117000,low
praglobal.tech,.tech,9,0.3333,0,0.55,0.72,0.5633,452000,medium
sevaxe.io,.io,6,0.5,0,0.85,1.0,0.7239,14001500,high
media14.net,.net,7,0.4286,1,0.65,0.72,0.7096,387500,medium
get.com,.com,3,0.3333,0,1.0,0.8647,0.8956,58250500,high
ramepraom.org,.org,9,0.4444,0,0.58,0.1812,0.4308,157000,low
vinaxzone.org,.org,9,0.4444,0,0.58,0.0319,0.4936,66000,low
games.org,.org,5,0.4,0,0.58,0.2713,0.5896,81500,low
siunteteda.in,.in,10,0.5,0,0.9,0.3361,0.4809,142000,low
hublog.site,.site,6,0.3333,0,0.2,0.1929,0.465,86000,low
tryshame.in,.in,8,0.25,0,0.9,0.7085,0.6902,53975500,high
worldbu.in,.in,7,0.2857,0,0.9,0.0463,0.4182,112000,low
online.biz,.biz,6,0.5,0,0.15,0.2703,0.4646,115000,low
vi.com,.com,2,0.5,0,1.0,0.9413,0.8369,81857000,high
unkoomkobhabu.net,.net,13,0.4615,0,0.65,0.0693,0.3276,85000,low
fxle.io,.io,4,0.25,0,0.85,1.0,0.8912,70680000,high
pradavin.co,.co,8,0.375,0,0.8,0.9949,0.8952,29919500,high
invest.ai,.ai,6,0.3333,0,0.95,1.0,0.7977,3955000,high
dahub.co,.co,5,0.4,0,0.8,0.491,0.7328,987500,medium
gram61.online,.online,6,0.1667,1,0.25,0.3756,0.4307,59500,low
design.co.in,.co.in,6,0.3333,0,0.6,0.0919,0.4414,80000,low
bharat.io,.io,6,0.3333,0,0.85,0.9033,0.9016,54292000,high
qonagari.xyz,.xyz,8,0.5,0,0.3,0.0279,0.4737,35000,low
rajcloud.net,.net,8,0.375,0,0.65,0.5058,0.7396,509000,medium
morishaaxsanlu.in,.in,14,0.4286,0,0.9,0.3782,0.3077,64500,low
mejibhasandevvyna.net,.net,17,0.3529,0,0.65,0.2251,0.2807,81500,low
silesha.com,.com,7,0.4286,0,1.0,0.7747,0.7735,34868000,high
myte.com,.com,4,0.25,0,1.0,0.5775,0.6061,651000,medium
online.com,.com,6,0.5,0,1.0,0.0271,0.4868,74000,low
kriomraez.net,.net,9,0.4444,0,0.65,0.5948,0.5888,548500,medium
xeno.ai,.ai,4,0.5,0,0.95,0.8133,0.8953,13591000,high
shadevhq.io,.io,8,0.25,0,0.85,0.4157,0.6561,919000,medium
rajshalab.io,.io,9,0.3333,0,0.85,0.7141,0.67,1292500,medium
vyportalgroup.xyz,.xyz,13,0.3077,0,0.3,0.3353,0.2954,55500,low
devco.net,.net,5,0.4,0,0.65,0.5308,0.6585,526000,medium
devlovevyezopsik.info,.info,16,0.375,0,0.18,0.0223,0.2862,73000,low
samay.com,.com,5,0.4,0,1.0,0.317,0.5296,122000,low
realna.co,.co,6,0.5,0,0.8,0.72,0.6248,291000,medium
xecahub.app,.app,7,0.4286,0,0.75,0.556,0.6883,912500,medium
omsiviqorajkrino.biz,.biz,16,0.4375,0,0.15,0.0971,0.2652,27000,low
groupraj.in,.in,8,0.375,0,0.9,0.2559,0.4204,159500,low
onlinete.com,.com,8,0.5,0,1.0,0.0521,0.5479,88500,low
cabazaar.dev,.dev,8,0.5,0,0.7,0.72,0.6686,654000,medium
axqoplace.xyz,.xyz,9,0.4444,0,0.3,0.2511,0.5107,53500,low
design.net,.net,6,0.3333,0,0.65,0.2395,0.5644,62500,low
pramoly.in,.in,7,0.2857,0,0.9,0.7467,0.8026,56334500,high
city.tech,.tech,4,0.25,0,0.55,0.5196,0.5972,856000,medium
trade.in,.in,5,0.4,0,0.9,1.0,0.9019,90970500,high
razaplace.net,.net,9,0.4444,0,0.65,0.2912,0.4316,153000,low
cloud.com,.com,5,0.4,0,1.0,0.9156,0.8784,780000,high
sparkda.in,.in,7,0.2857,0,0.9,0.4803,0.6654,692000,medium
shawydev.net,.net,8,0.25,0,0.65,0.6768,0.5455,1075000,medium
omvinshakrisha.online,.online,14,0.3571,0,0.25,0.1872,0.3202,69000,low
luranozapekopu.biz,.biz,14,0.5,0,0.15,0.1359,0.3407,65000,low
health.com,.com,6,0.3333,0,1.0,0.4316,0.6864,216000,medium
world.in,.in,5,0.2,0,0.9,0.2499,0.4325,164000,low
nova27.io,.io,6,0.3333,1,0.85,0.5231,0.6378,217000,medium
pulove.site,.site,6,0.5,0,0.2,0.299,0.4899,99000,low
zaservice.info,.info,9,0.4444,0,0.18,0.0782,0.5157,107000,low
teez.app,.app,4,0.5,0,0.75,0.6569,0.6148,651000,medium
bhalunarajri.xyz,.xyz,12,0.4167,0,0.3,0.2862,0.4787,78500,low
lab59.dev,.dev,5,0.2,1,0.7,0.456,0.6934,294500,medium
solutionstu.net,.net,11,0.4545,0,0.65,0.153,0.4456,91500,low
vinshakti.app,.app,9,0.3333,0,0.75,0.4638,0.6024,870500,medium
devpaise.in,.in,8,0.5,0,0.9,0.5428,0.6974,1948500,medium
solutionsbhapeun.xyz,.xyz,16,0.4375,0,0.3,0.1722,0.2545,46500,low
jibuvypra.net,.net,9,0.3333,0,0.65,0.0741,0.5045,135000,low
softkri.tech,.tech,7,0.2857,0,0.55,0.648,0.6083,618500,medium
lex.io,.io,3,0.3333,0,0.85,0.836,0.9633,12849500,high
kositeqozone.xyz,.xyz,12,0.5,0,0.3,0.1513,0.4761,111500,low
krisiluhu.info,.info,9,0.4444,0,0.18,0.1159,0.4439,61000,low
jihq.io,.io,4,0.25,0,0.85,0.522,0.6587,1304500,medium
pepushajitukovy.co.in,.co.in,15,0.4,0,0.6,0.0073,0.3326,87500,low
art.info,.info,3,0.3333,0,0.18,0.0886,0.5806,83500,low
store17.co,.co,7,0.2857,1,0.8,0.72,0.6355,581500,medium
bestsan.biz,.biz,7,0.2857,0,0.15,0.2121,0.5146,93500,low
design53.org,.org,8,0.25,1,0.58,0.1014,0.392,44500,low
cateworldgamesza.biz,.biz,16,0.375,0,0.15,0.2251,0.2813,62000,low
omopwyvin.site,.site,9,0.3333,0,0.2,0.0491,0.5257,99000,low
kart.tech,.tech,4,0.25,0,0.55,0.5119,0.7046,1059000,medium
digime.dev,.dev,6,0.5,0,0.7,0.485,0.6924,839500,medium
dahub.ai,.ai,5,0.4,0,0.95,1.0,0.8226,56643000,high
sanunrapu.com,.com,9,0.4444,0,1.0,0.6324,0.5912,1035500,medium
shakti.app,.app,6,0.3333,0,0.75,0.6044,0.6656,1168500,medium
dost.net,.net,4,0.25,0,0.65,0.72,0.6544,1077500,medium
syncme.tech,.tech,6,0.1667,0,0.55,0.5813,0.5485,391500,medium
ipo.io,.io,3,0.6667,0,0.85,0.929,0.7793,19579000,high
nobase.tech,.tech,6,0.5,0,0.55,0.5207,0.6314,977500,medium
saathi.online,.online,6,0.5,0,0.25,0.0152,0.4869,108500,low
luezmonaaxkripra.com,.com,16,0.4375,0,1.0,0.3005,0.2855,67000,low
kopepusan.io,.io,9,0.4444,0,0.85,0.6494,0.6813,743500,medium
tudevbase.in,.in,9,0.4444,0,0.9,0.72,0.5703,329000,medium
getwy.ai,.ai,5,0.2,0,0.95,0.9085,0.6906,24395500,high
sira.ai,.ai,4,0.5,0,0.95,0.9038,0.9063,58016000,high
fintech.com,.com,7,0.2857,0,1.0,1.0,0.8197,3649500,high
lowkeyword123.info,.info,13,0.2308,1,0.18,0.2306,0.4238,5000,low
liveqo.in,.in,6,0.5,0,0.9,1.0,0.8656,10621500,high
sanvidya.app,.app,8,0.375,0,0.75,0.6602,0.643,998000,medium
coreno.co,.co,6,0.5,0,0.8,0.6304,0.5829,626000,medium
tryrajfo.in,.in,8,0.25,0,0.9,0.8901,0.7706,4592000,high
da.in,.in,2,0.5,0,0.9,0.984,0.9177,4425500,high
napuco.in,.in,6,0.5,0,0.9,0.5897,0.589,1172500,medium
mypu.net,.net,4,0.25,0,0.65,0.7052,0.7426,557000,medium
core.io,.io,4,0.5,0,0.85,0.593,0.7153,649000,medium
axco.io,.io,4,0.5,0,0.85,0.5899,0.6896,1318500,medium
rafy.com,.com,4,0.25,0,1.0,0.8964,0.8655,4792500,high
rojgar.xyz,.xyz,6,0.3333,0,0.3,0.2932,0.4728,107500,low
qohuonline.biz,.biz,10,0.5,0,0.15,0.2483,0.4862,72000,low
luunxe.in,.in,6,0.5,0,0.9,0.9099,0.8875,41631500,high
bhadigi.co.in,.co.in,7,0.4286,0,0.6,0.7053,0.7083,681000,medium
forajki.dev,.dev,7,0.4286,0,0.7,0.6186,0.6185,921500,medium
rajinfo.net,.net,7,0.4286,0,0.65,0.1582,0.5691,131500,low
bazaar.com,.com,6,0.5,0,1.0,0.4537,0.6492,862000,medium
gomo.ai,.ai,4,0.5,0,0.95,0.9723,0.8525,23857500,high
news74.xyz,.xyz,6,0.1667,1,0.3,0.12,0.3429,72000,low
qojiunforiunxe.biz,.biz,14,0.5,0,0.15,0.2573,0.4141,37500,low
sandeshri.net,.net,9,0.3333,0,0.65,0.2506,0.3749,53500,low
gyanvy.xyz,.xyz,6,0.1667,0,0.3,0.286,0.4551,47000,low
smart.com,.com,5,0.2,0,1.0,0.9521,0.7172,773000,high
bestraj.biz,.biz,7,0.2857,0,0.15,0.2411,0.4164,37000,low
newpe.com,.com,5,0.4,0,1.0,0.6211,0.7704,722000,medium
ribase.co.in,.co.in,6,0.5,0,0.6,0.7143,0.6858,1146500,medium
bestezmo.in,.in,8,0.375,0,0.9,0.3499,0.5184,144500,low
ai97.ai,.ai,4,0.5,1,0.95,0.9112,0.8227,23978500,high
luvipe.co,.co,6,0.5,0,0.8,0.3555,0.7028,423500,medium
sanmobase.io,.io,9,0.4444,0,0.85,0.72,0.6981,746000,medium
xevinhub.com,.com,8,0.375,0,1.0,0.5652,0.7171,379000,medium
next.co.in,.co.in,4,0.25,0,0.6,0.72,0.7341,1632000,medium
goca.com,.com,4,0.5,0,1.0,0.8762,0.8329,27198000,high
un.co,.co,2,0.5,0,0.8,0.7357,0.8941,72504000,high
home.io,.io,4,0.5,0,0.85,0.6801,0.713,1051500,medium
ezshaqoko.xyz,.xyz,9,0.4444,0,0.3,0.1418,0.3943,112500,low
viget.io,.io,5,0.4,0,0.85,0.921,0.7939,8695000,high
vy.ai,.ai,2,0.0,0,0.95,0.8842,0.8039,48327000,high
sily.com,.com,4,0.25,0,1.0,0.9759,0.8215,65421000,high
rinoonline.com,.com,10,0.5,0,1.0,0.0659,0.3395,82000,low
shaco.in,.in,5,0.4,0,0.9,0.4019,0.6919,686500,medium
lutravel.site,.site,8,0.375,0,0.2,0.297,0.5158,135500,low
dost.com,.com,4,0.25,0,1.0,0.4954,0.6167,1033500,medium
luununaxko.online,.online,10,0.5,0,0.25,0.2889,0.3693,70500,low
vinfozonesite.info,.info,13,0.4615,0,0.18,0.1115,0.3961,67000,low
cainfo.in,.in,6,0.5,0,0.9,0.3128,0.5762,109000,low
citytu.com,.com,6,0.3333,0,1.0,0.573,0.6978,583500,medium
paise.net,.net,5,0.6,0,0.65,0.72,0.6265,1836500,medium
labna.co,.co,5,0.4,0,0.8,0.5726,0.6912,765000,medium
vionline.net,.net,8,0.5,0,0.65,0.0579,0.3865,99000,low
bharaaxnano.co,.co,11,0.4545,0,0.8,0.4532,0.5997,631500,medium
graminme.co,.co,8,0.375,0,0.8,0.4792,0.7187,838000,medium
world.biz,.biz,5,0.2,0,0.15,0.2021,0.5479,63500,low
davinrasha.com,.com,10,0.4,0,1.0,0.402,0.6755,487000,medium
unrajkrikrivin.app,.app,14,0.3571,0,0.75,0.7154,0.5051,796500,medium
momoworld.org,.org,9,0.3333,0,0.58,0.3228,0.4817,156000,low
dalink.dev,.dev,6,0.3333,0,0.7,0.4828,0.7099,1188000,medium
labop.app,.app,5,0.4,0,0.75,0.7051,0.6516,359500,medium
komoinfo.biz,.biz,8,0.5,0,0.15,0.2191,0.4296,30500,low
moai.app,.app,4,0.75,0,0.75,1.0,0.6614,24946000,high
opdahq.co.in,.co.in,6,0.3333,0,0.6,0.4754,0.664,548500,medium
myko.tech,.tech,4,0.25,0,0.55,0.65,0.7279,246500,medium
rajcloud.io,.io,8,0.375,0,0.85,0.72,0.7228,623500,medium
viapp.com,.com,5,0.4,0,1.0,0.5517,0.8013,286000,medium
krizone.xyz,.xyz,7,0.4286,0,0.3,0.0191,0.463,89000,low
sirionline.org,.org,10,0.5,0,0.58,0.3618,0.3318,115000,low
lexesoft.com,.com,8,0.375,0,1.0,0.6652,0.6531,700000,medium
gotubha.co,.co,7,0.4286,0,0.8,0.9066,0.7576,15655500,high
gowyle.io,.io,6,0.3333,0,0.85,1.0,0.8525,5051000,high
trype.in,.in,5,0.2,0,0.9,0.746,0.8209,50525500,high
penaopom.co,.co,8,0.5,0,0.8,0.3519,0.5506,465500,medium
portal5.site,.site,7,0.2857,1,0.2,0.2186,0.4182,58500,low
world.info,.info,5,0.2,0,0.18,0.0751,0.4655,90000,low
solutions.org,.org,9,0.4444,0,0.58,0.2734,0.557,120500,low
wysync.io,.io,6,0.0,0,0.85,0.72,0.4769,885500,medium
te.in,.in,2,0.5,0,0.9,0.8664,0.9123,31117500,high
vin.in,.in,3,0.3333,0,0.9,0.8249,0.9395,53016000,high
khoj.info,.info,4,0.25,0,0.18,0.2463,0.5414,76000,low
devshaai.ai,.ai,8,0.5,0,0.95,1.0,0.8287,37572500,high
axcare.tech,.tech,6,0.5,0,0.55,0.4607,0.6167,264000,medium
pucore.co,.co,6,0.5,0,0.8,0.5853,0.5963,721500,medium
casoft.tech,.tech,6,0.3333,0,0.55,0.4812,0.6805,668000,medium
kripezone.co.in,.co.in,9,0.4444,0,0.6,0.3784,0.5582,88500,low
vinohub.io,.io,7,0.4286,0,0.85,0.7125,0.6572,678000,medium
wyzaplace.site,.site,9,0.3333,0,0.2,0.3407,0.5391,86500,low
sinext.in,.in,6,0.3333,0,0.9,0.5927,0.7458,1067500,medium
labraj.com,.com,6,0.3333,0,1.0,0.4986,0.7392,493500,medium
connectbestbu.xyz,.xyz,13,0.3077,0,0.3,0.3556,0.2923,36500,low
newswy.xyz,.xyz,6,0.1667,0,0.3,0.2393,0.3431,79000,low
syncji.co.in,.co.in,6,0.1667,0,0.6,0.7092,0.6479,614000,medium
sicredit.io,.io,8,0.375,0,0.85,1.0,0.8709,29111500,high
puworld.co.in,.co.in,7,0.2857,0,0.6,0.1808,0.5145,102500,low
care.tech,.tech,4,0.5,0,0.55,0.4867,0.7334,558000,medium
nri.io,.io,3,0.3333,0,0.85,0.9439,0.88,64986000,high
tunova.co,.co,6,0.5,0,0.8,0.5448,0.6048,978500,medium
pumilan.org,.org,7,0.4286,0,0.58,0.0461,0.5268,90500,low
kite.com,.com,4,0.5,0,1.0,0.9825,0.7878,21154000,high
gosha.in,.in,5,0.4,0,0.9,1.0,0.9234,31802000,high
fintechfo.ai,.ai,9,0.3333,0,0.95,0.9673,0.7367,19644500,high
sandesign.info,.info,9,0.3333,0,0.18,0.166,0.406,52000,low
labko.net,.net,5,0.4,0,0.65,0.459,0.7442,758500,medium
mepracavy.in,.in,9,0.3333,0,0.9,0.4322,0.6318,279000,medium
noopbha.co,.co,7,0.4286,0,0.8,0.7656,0.8151,46007500,high
ezmele.co.in,.co.in,6,0.5,0,0.6,0.443,0.7114,380000,medium
mevivy.co.in,.co.in,6,0.3333,0,0.6,0.6662,0.6809,836500,medium
lepeshawy.com,.com,9,0.3333,0,1.0,0.5758,0.6626,715500,medium
bumandi.co.in,.co.in,7,0.4286,0,0.6,0.6695,0.6776,568000,medium
go.com,.com,2,0.5,0,1.0,0.8978,0.8913,41290000,high
gamesop.co.in,.co.in,7,0.4286,0,0.6,0.3088,0.5983,121000,low
mybuki.app,.app,6,0.3333,0,0.75,0.6822,0.7467,719500,medium
spacebha.net,.net,8,0.375,0,0.65,0.6807,0.726,732000,medium
bloglove22.xyz,.xyz,10,0.3,1,0.3,0.0223,0.4682,63500,low
founxe.in,.in,6,0.5,0,0.9,0.7598,0.7898,30733000,high
karttu.in,.in,6,0.3333,0,0.9,0.72,0.6847,1211000,medium
opwyhub.net,.net,7,0.2857,0,0.65,0.3559,0.6503,957000,medium
sensex.ai,.ai,6,0.3333,0,0.95,0.8604,0.8086,65785000,high
opconnect.info,.info,9,0.3333,0,0.18,0.3122,0.4827,114000,low
riservice.com,.com,9,0.4444,0,1.0,0.0242,0.4462,95000,low
xzq123.xyz,.xyz,6,0.0,1,0.3,0.1864,0.2882,4000,low
dost.app,.app,4,0.25,0,0.75,0.6892,0.6812,681500,medium
pay.com,.com,3,0.3333,0,1.0,1.0,0.796,946000,high
xeezsimoko.dev,.dev,10,0.5,0,0.7,0.5253,0.5038,542000,medium
opapp.in,.in,5,0.4,0,0.9,0.72,0.6744,381000,medium
nova27.com,.com,6,0.3333,1,1.0,0.5632,0.6923,772500,medium
luki.app,.app,4,0.5,0,0.75,0.6711,0.6987,619000,medium
solutionski.net,.net,11,0.4545,0,0.65,0.1375,0.4765,112000,low
simobase.co,.co,8,0.5,0,0.8,0.72,0.6502,392000,medium
omcenter.org,.org,8,0.375,0,0.58,0.3048,0.5679,132000,low
komozaqomedevvin.biz,.biz,16,0.4375,0,0.15,0.2364,0.4051,47000,low
nova.co,.co,4,0.5,0,0.8,0.545,0.7152,1161500,medium
group.xyz,.xyz,5,0.4,0,0.3,0.2188,0.5939,158500,low
mandi.com,.com,5,0.4,0,1.0,0.72,0.6646,733500,medium
shaswadesh.com,.com,10,0.3,0,1.0,0.6263,0.5663,376000,medium
no.io,.io,2,0.5,0,0.85,0.8308,0.9627,56848500,high
ricore.in,.in,6,0.5,0,0.9,0.7172,0.7175,1063000,medium
saninfo.org,.org,7,0.4286,0,0.58,0.0717,0.5833,90500,low
rajio.ai,.ai,5,0.6,0,0.95,0.8851,0.7465,86764500,high
krishavysan.com,.com,11,0.2727,0,1.0,0.5503,0.538,908000,medium
myviom.co,.co,6,0.3333,0,0.8,0.7087,0.7156,1328500,medium
risoft.io,.io,6,0.3333,0,0.85,0.6709,0.5927,1043500,medium
leranalepuki.net,.net,12,0.5,0,0.65,0.3122,0.3912,88000,low
app.net,.net,3,0.3333,0,0.65,0.6833,0.7029,680000,medium
nagari37.xyz,.xyz,8,0.375,1,0.3,0.1358,0.517,45500,low
rajsoft.tech,.tech,7,0.2857,0,0.55,0.72,0.5879,856000,medium
worldte.in,.in,7,0.2857,0,0.9,0.0412,0.5552,89500,low
zakrico.com,.com,7,0.4286,0,1.0,0.5634,0.7111,1010500,medium
razarafo.tech,.tech,8,0.5,0,0.55,0.4321,0.6607,756000,medium
hubqo.in,.in,5,0.4,0,0.9,0.906,0.9111,36501000,high
huviwy.com,.com,6,0.3333,0,1.0,0.5082,0.6522,788000,medium
datebudev.io,.io,9,0.4444,0,0.85,0.6744,0.6152,376500,medium
vinspace.com,.com,8,0.375,0,1.0,0.72,0.6423,1097500,medium
sync.io,.io,4,0.0,0,0.85,0.6137,0.4642,732500,medium
me.com,.com,2,0.5,0,1.0,0.8484,0.896,56114500,high
lubase.co,.co,6,0.5,0,0.8,0.72,0.6836,352000,medium
nosi.com,.com,4,0.5,0,1.0,0.8055,0.8558,48399500,high
tubazaar.io,.io,8,0.5,0,0.85,0.72,0.602,963000,medium
mobile.com,.com,6,0.5,0,1.0,0.9542,0.8282,4515500,high
devdadaviji.net,.net,11,0.4545,0,0.65,0.0302,0.4809,59000,low
qovimeopdafo.co.in,.co.in,12,0.5,0,0.6,0.2452,0.3607,56000,low
hupeca.co.in,.co.in,6,0.5,0,0.6,0.6212,0.592,1178000,medium
vilumewyezmeji.com,.com,14,0.4286,0,1.0,0.0932,0.3341,59000,low
lukrihq.tech,.tech,7,0.2857,0,0.55,0.4668,0.5492,807000,medium
sundarme.org,.org,8,0.375,0,0.58,0.258,0.5687,73000,low
worldvin.net,.net,8,0.25,0,0.65,0.2206,0.344,106500,low
investpe.com,.com,8,0.375,0,1.0,0.9246,0.7793,21820500,high
krishimo.dev,.dev,8,0.375,0,0.7,0.6682,0.6095,912500,medium
ominfo.in,.in,6,0.5,0,0.9,0.0046,0.492,106500,low
huswadesh.com,.com,9,0.3333,0,1.0,0.72,0.6037,1082000,medium
fx.co,.co,2,0.0,0,0.8,1.0,0.7371,21230000,high
caaxza.co.in,.co.in,6,0.5,0,0.6,0.5039,0.6408,566500,medium
moezbusiviwydev.org,.org,15,0.4,0,0.58,0.2995,0.3536,50500,low
place.org,.org,5,0.4,0,0.58,0.3235,0.5178,71000,low
lezone.biz,.biz,6,0.5,0,0.15,0.067,0.4448,55000,low
mesizakomokotusi.info,.info,16,0.5,0,0.18,0.1365,0.285,93500,low
energyle.in,.in,8,0.375,0,0.9,0.3454,0.4062,73000,low
nomoriaxxedev.xyz,.xyz,13,0.4615,0,0.3,0.1898,0.4824,78500,low
design89.biz,.biz,8,0.25,1,0.15,0.1265,0.3437,47500,low
next.io,.io,4,0.25,0,0.85,0.72,0.7424,994000,medium
host61.xyz,.xyz,6,0.1667,1,0.3,0.264,0.5174,87000,low
global.in,.in,6,0.3333,0,0.9,0.72,0.6323,814500,medium
tenet.dev,.dev,5,0.4,0,0.7,0.5284,0.6654,716500,medium
hufoezhuhu.co.in,.co.in,10,0.5,0,0.6,0.683,0.6571,550000,medium
new23.com,.com,5,0.2,1,1.0,0.5615,0.5533,270500,medium
newsax.in,.in,6,0.3333,0,0.9,0.0165,0.5148,80500,low
games.online,.online,5,0.4,0,0.25,0.1527,0.4735,134500,low
buy.in,.in,3,0.3333,0,0.9,1.0,0.9481,18958500,high
ezkoza.co,.co,6,0.5,0,0.8,0.4659,0.7021,946000,medium
sync.dev,.dev,4,0.0,0,0.7,0.72,0.5551,896000,medium
bhalusanax.org,.org,10,0.4,0,0.58,0.0251,0.4991,69500,low
milanpu.net,.net,7,0.4286,0,0.65,0.1207,0.5652,58500,low
prazaom.io,.io,7,0.4286,0,0.85,0.5717,0.6564,332000,medium
daxe.net,.net,4,0.5,0,0.65,0.5325,0.6155,622000,medium
tradelu.ai,.ai,7,0.4286,0,0.95,0.9833,0.7446,50493500,high
spark.net,.net,5,0.2,0,0.65,0.72,0.5939,647000,medium
bha.in,.in,3,0.3333,0,0.9,0.9831,0.9315,30391000,high
jisoft.io,.io,6,0.3333,0,0.85,0.5103,0.6238,1079500,medium
noop.com,.com,4,0.5,0,1.0,0.9896,0.826,18908500,high
shakti10.tech,.tech,8,0.25,1,0.55,0.7071,0.5631,691000,medium
fomoio.co,.co,6,0.6667,0,0.8,0.8836,0.7084,62380000,high
jishaly.ai,.ai,7,0.2857,0,0.95,0.9203,0.7008,47867500,high
rirajxehuun.tech,.tech,11,0.4545,0,0.55,0.3701,0.6111,724000,medium
sitedev.net,.net,7,0.4286,0,0.65,0.1455,0.5252,80500,low
kriopinfo.biz,.biz,9,0.4444,0,0.15,0.069,0.484,83000,low
nahq.net,.net,4,0.25,0,0.65,0.3905,0.6202,1008000,medium
dabucasanluko.biz,.biz,13,0.4615,0,0.15,0.0851,0.3956,38500,low
cahub.app,.app,5,0.4,0,0.75,0.3512,0.7507,719500,medium
hotel82.online,.online,7,0.2857,1,0.25,0.0888,0.5412,48500,low
sancrypto.com,.com,9,0.2222,0,1.0,0.95,0.6971,9493500,high
shaviqopuvykoun.info,.info,15,0.4,0,0.18,0.3494,0.4763,65000,low
hucloud.ai,.ai,7,0.4286,0,0.95,1.0,0.8178,27688500,high
bhamevyom.dev,.dev,9,0.3333,0,0.7,0.6074,0.5694,259000,medium
vinzone.biz,.biz,7,0.4286,0,0.15,0.1903,0.4834,92000,low
ludev.co,.co,5,0.4,0,0.8,0.7275,0.9247,29189500,high
center98.co.in,.co.in,8,0.25,1,0.6,0.2139,0.4219,45000,low
ezstore.com,.com,7,0.4286,0,1.0,0.5091,0.7506,294500,medium
design.in,.in,6,0.3333,0,0.9,0.3114,0.4241,104000,low
devte.in,.in,5,0.4,0,0.9,0.7775,0.8695,25468000,high
pratehub.in,.in,8,0.375,0,0.9,0.4119,0.7328,702500,medium
myle.net,.net,4,0.25,0,0.65,0.4482,0.6203,1012000,medium
puprasan.app,.app,8,0.375,0,0.75,0.657,0.7061,377000,medium
mozone.site,.site,6,0.5,0,0.2,0.0229,0.4,43000,low
blog.com,.com,4,0.25,0,1.0,0.3717,0.5553,107000,low
huhotelbusinessb.xyz,.xyz,16,0.375,0,0.3,0.3018,0.3039,82000,low
meluinfo.com,.com,8,0.5,0,1.0,0.2983,0.5103,179000,low
darajdamole.tech,.tech,11,0.4545,0,0.55,0.3985,0.6525,1062500,medium
nova5.tech,.tech,5,0.4,1,0.55,0.72,0.7717,1061000,medium
te.co,.co,2,0.5,0,0.8,0.9112,0.9486,90613500,high
oprionline.in,.in,10,0.5,0,0.9,0.2373,0.445,99500,low
caonline.biz,.biz,8,0.5,0,0.15,0.1134,0.5414,124000,low
videvshaezpe.dev,.dev,12,0.4167,0,0.7,0.7149,0.5447,743500,medium
rapefolura.com,.com,10,0.5,0,1.0,0.6247,0.5281,532500,medium
centerop.xyz,.xyz,8,0.375,0,0.3,0.2122,0.4712,96500,low
shasync.io,.io,7,0.1429,0,0.85,0.4633,0.4877,1024000,medium
luplacebestluza.biz,.biz,15,0.4,0,0.15,0.356,0.4073,37500,low
bhavintu.co.in,.co.in,8,0.375,0,0.6,0.609,0.691,319500,medium
rashaworld.info,.info,10,0.3,0,0.18,0.1572,0.4199,84500,low
mandi.co.in,.co.in,5,0.4,0,0.6,0.4657,0.7736,600500,medium
portaltewykiluax.biz,.biz,16,0.375,0,0.15,0.34,0.4165,40500,low
devvipe.io,.io,7,0.4286,0,0.85,0.3941,0.6585,658000,medium
krihub.co,.co,6,0.3333,0,0.8,0.3517,0.6526,195500,medium
perajio.com,.com,7,0.5714,0,1.0,1.0,0.7794,27694000,high
ra.com,.com,2,0.5,0,1.0,0.9553,0.9469,62303000,high
pubhazana.co.in,.co.in,9,0.4444,0,0.6,0.1725,0.545,106000,low
zadost.co.in,.co.in,6,0.3333,0,0.6,0.4594,0.6131,870500,medium
soft2.com,.com,5,0.2,1,1.0,0.72,0.6835,441500,medium
moco.co.in,.co.in,4,0.5,0,0.6,0.3578,0.6989,755000,medium
